"Size";"LinkedList()";"LinkedList(Collection)";"add(T)";"add(int, T)";"addAll(Collection)";"addAll(int, Collection)";"addFirst(T)";"addLast(T)";"clone()";"contains(T)";"element()";"equals(Object)";"get(int)";"hashCode()";"indexOf(T)";"lastIndexOf(T)";"offer(T)";"offerFirst(T)";"offerLast(T)";"peek()";"peekFirst()";"peekLast()";"poll()";"pollFirst()";"pollLast()";"push(T)";"pop()";"remove()";"remove(int)";"remove(T)";"removeFirst()";"removeFirstOccurrence(T)";"removeLast()";"removeLastOccurrence(T)";"set(int, T)";"size()";"toArray()";"toString()"
2500;58;18342;53208;4945;18069;22938;113;196;40215;10258;45;80339;4466;44355;10229;243;124;128;149;41;36;34;83;67;276;154;69;72;4567;10909;76;11092;236;271;4731;33;14069;117808
5000;60;17009;29747;9388;16795;25690;95;81;23279;21053;200;24182;9612;17941;20564;300;191;164;172;207;216;223;247;223;292;200;79;104;9354;21226;69;21138;233;308;9239;32;19208;270866
7500;60;24825;43094;14386;24858;38481;95;78;32429;31043;166;33530;12640;24900;26691;230;114;105;86;127;104;178;191;157;148;115;24;22;12323;26824;26;27201;371;249;12524;23;26042;189978
10000;52;29115;59828;16779;28610;46547;89;66;37015;35429;63;38987;16909;33645;35314;34;72;99;72;24;24;27;27;39;31;80;25;24;16616;35315;29;35894;31;35;16564;25;34907;250070
25000;47;85404;125152;40611;69626;128044;86;67;91263;87243;23;90127;41134;77692;84759;32;79;80;70;25;27;29;30;32;58;84;29;24;40985;85978;27;86425;34;34;41312;24;71257;701887
50000;50;181414;471579;80656;169421;221023;90;73;230924;172806;34;304079;81874;134072;162936;38;94;75;67;32;28;33;39;121;41;88;25;21;80005;172836;25;172619;39;42;80067;25;130775;1412514
100000;50;280675;561300;157944;279357;436763;92;69;508132;351625;31;658176;158047;251773;297070;49;89;325;70;34;32;29;40;37;53;141;31;35;158841;351705;29;348990;47;96;157634;20;219080;2941982
250000;53;772019;1412619;400591;750357;1252567;97;66;1054937;954988;36;1596077;402145;606194;783537;70;111;80;69;50;37;34;85;105;54;89;29;34;400063;683977;38;956177;54;70;401304;27;655702;7822140
500000;55;2216381;2405922;824833;1451146;2458989;91;68;1506719;1877994;23;3175637;815266;1147297;1423791;27;90;78;71;18;26;20;222;231;205;90;172;236;821115;1292444;394;2206641;741;563;1152147;41;2341848;15018056
1000000;63;5931072;27003793;1798368;5183374;5486588;101;66;4670649;3637319;18;6374757;1692098;2214164;2739445;29;90;69;69;18;22;22;61;583;111;89;286;312;1690415;2441490;316;3590245;117;113;1673867;19;66305022;36825772
